id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
76	93272.2	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	57	9	SP	M	2488.87	INVESTIDOR	0
77	0	0	BAIXO	VIUVO	ENSINO MEDIO	0	ESPECIAL	83	6	SP	M	1721.91	INVESTIDOR	0
78	502.9	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	CLÁSSICO	43	6	SP	H	743	TOMADOR	0
79	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	63	2	SP	H	2124.54	INVESTIDOR	0
80	6630.3	0	BAIXO	DIVORCIADO	SUPERIOR	0	VIP	51	8	SP	M	1411	INVESTIDOR	0
81	190390.4	0	BAIXO	NÃO INFORMADO	MESTRADO	1	VIP	73	9	SP	H	6000	INVESTIDOR	0
82	35.5	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	CLÁSSICO	56	5	SP	M	898.73	INVESTIDOR	0
83	65010.6	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	VIP	63	5	SP	M	2208.69	INVESTIDOR	0
84	3531.8	0	BAIXO	VIUVO	SUPERIOR	1	ESPECIAL	62	7	SP	M	2996.58	INVESTIDOR	0
85	980.6	0	BAIXO	NÃO INFORMADO	MESTRADO	1	VIP	65	7	SP	H	7451.55	INVESTIDOR	0
86	0	0	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	75	3	SP	H	1958	TOMADOR	0
87	65096.8	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	57	3	SP	H	0	INVESTIDOR	0
88	0	1	MEDIO	NÃO INFORMADO	NÃO INFORMADO	0	VIP	54	6	SP	H	10000	TOMADOR	0
89	950.3	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	46	5	SP	M	4000	INVESTIDOR	0
90	28118.5	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	1	ESPECIAL	63	5	SP	H	1175.87	INVESTIDOR	0
91	28027.1	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	49	9	SP	H	3300	INVESTIDOR	0
92	36629.7	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	57	11	SP	M	4706.42	INVESTIDOR	0
93	230188.3	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	VIP	63	5	SP	M	4693.88	INVESTIDOR	0
94	24477.4	0	BAIXO	VIUVO	SUPERIOR	1	VIP	63	10	SP	M	4000	INVESTIDOR	0
95	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	65	6	SP	H	4189.34	INVESTIDOR	0
96	38.8	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	ESPECIAL	68	4	SP	M	2745.48	INVESTIDOR	0
97	86082.4	0	BAIXO	SOLTEIRO	POS GRADUACAO	1	VIP	63	12	SP	M	7224	INVESTIDOR	0
98	0	1	ALTO	NÃO INFORMADO	SUPERIOR	0	ESPECIAL	49	1	SP	M	3000	TOMADOR	0
99	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	58	5	SP	H	8013.35	TOMADOR	0
